"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"02085","2022","COM","2020","1003","25","1028","2023-01-02"
"02086","2022","COM","2020","999","12","1011","2023-01-02"
"02087","2022","COM","2020","34","1","35","2023-01-02"
"02088","2022","COM","2020","88","5","93","2023-01-02"
"02089","2022","COM","2020","1146","21","1167","2023-01-02"
"02090","2022","COM","2020","203","4","207","2023-01-02"
"02091","2022","COM","2020","94","1","95","2023-01-02"
"02093","2022","COM","2020","1306","60","1366","2023-01-02"
"02094","2022","COM","2020","469","10","479","2023-01-02"
"02095","2022","COM","2020","5703","75","5778","2023-01-02"
"02096","2022","COM","2020","194","2","196","2023-01-02"
"02097","2022","COM","2020","261","2","263","2023-01-02"
"02098","2022","COM","2020","378","14","392","2023-01-02"
"02099","2022","COM","2020","216","5","221","2023-01-02"
"02100","2022","COM","2020","138","0","138","2023-01-02"
